"X","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year","Neighborhood"
224044,1291300,2017365908,"X",21,"DISTURBANCE-OTH","X","DISTURBANCE","10/02/2017 10:57:00 AM","10/02/2017 03:29:00 AM","10/02/2017 10:57:00 AM","69XX BLOCK OF 37 AV S","S","S1","11001.2006",-122.286186218,47.539764404,"(47.539764404, -122.286186218)",10,2017,"Holly Park"
224045,1291301,2017366266,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","10/02/2017 02:01:00 PM","10/02/2017 02:01:00 PM","","83XX BLOCK OF 15 AV NW","J","J2","3000.2004",-122.376800537,47.689666748,"(47.689666748, -122.376800537)",10,2017,"Whittier Heights"
224046,1291302,2017366227,"1313",0,"ASSLT-NONAGG","1300","ASSAULT","10/02/2017 12:56:00 PM","10/01/2017 06:00:00 PM","","95XX BLOCK OF 15 AV NW","J","J1","1600.2006",-122.376785278,47.698436737,"(47.698436737, -122.376785278)",10,2017,"Olympic Manor"
224047,1291303,2017364814,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/01/2017 12:14:00 PM","10/01/2017 04:07:00 AM","","S DAWSON ST / E MARGINAL WY S","O","O2","9300.3189",-122.338241577,47.555767059,"(47.555767059, -122.338241577)",10,2017,"Georgetown"
224566,1290465,2017365009,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/01/2017 09:33:00 AM","09/30/2017 09:00:00 PM","10/01/2017 09:00:00 AM","75XX BLOCK OF 14 AV NE","U","U1","2600.4016",-122.313186646,47.68396759,"(47.68396759, -122.313186646)",10,2017,"Roosevelt"
225037,1293052,2017366348,"2308",0,"THEFT-BUILDING","2300","OTHER PROPERTY","10/02/2017 12:00:00 PM","08/06/2017 04:40:00 AM","","22XX BLOCK OF 3 AV","D","D1","8001.2009",-122.344146729,47.614318848,"(47.614318848, -122.344146729)",10,2017,"Belltown"
225039,1293054,2017368359,"2308",0,"THEFT-BUILDING","2300","OTHER PROPERTY","10/03/2017 11:52:00 PM","10/03/2017 10:30:00 PM","10/03/2017 11:52:00 PM","6XX BLOCK OF S WELLER ST","K","K3","9100.2008",-122.325714111,47.597515106,"(47.597515106, -122.325714111)",10,2017,"International District"
225041,1293056,2017909022,"2399",1,"THEFT-BICYCLE","2300","BIKE THEFT","10/04/2017 09:44:00 AM","10/01/2017 08:00:00 AM","10/04/2017 09:35:00 AM","WILLIAMS AV W / W JAMESON ST","Q","Q1","5801.4032",-122.392204285,47.659442902,"(47.659442902, -122.392204285)",10,2017,"Magnolia"
225042,1293057,2017909026,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","10/04/2017 11:53:00 AM","08/04/2017 12:00:00 PM","08/25/2017 12:00:00 PM","45XX BLOCK OF 35 AV W","Q","Q1","5700.5008",-122.402557373,47.661876678,"(47.661876678, -122.402557373)",10,2017,"Magnolia"
225043,1293058,2017365201,"X",69,"VEH-RCVD-FOR OTHER AGENCY","X","VEHICLE THEFT","10/01/2017 01:14:00 PM","10/01/2017 01:14:00 PM","","50 AV S / S ROSE ST","S","S2","11800.6005",-122.270797729,47.52911377,"(47.52911377, -122.270797729)",10,2017,"Dunlap"
225044,1293059,2017368901,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/04/2017 12:16:00 PM","10/03/2017 11:00:00 PM","10/04/2017 06:00:00 AM","27XX BLOCK OF NE 88 ST","U","U3","2100.3016",-122.297393799,47.692394257,"(47.692394257, -122.297393799)",10,2017,"Wedgwood"
225045,1293060,2017369011,"2316",0,"THEFT-MAIL","2300","MAIL THEFT","10/04/2017 01:40:00 PM","10/04/2017 12:40:00 PM","","10XX BLOCK OF NE 102 ST","L","L2","1200.1021",-122.316360474,47.702186584,"(47.702186584, -122.316360474)",10,2017,"Maple Leaf"
225046,1293061,2017369155,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/04/2017 03:22:00 PM","10/03/2017 05:00:00 PM","10/04/2017 11:00:00 AM","57XX BLOCK OF 18 AV NE","U","U1","4400.1024",-122.308486938,47.670791626,"(47.670791626, -122.308486938)",10,2017,"University District"
225115,1290422,2017364695,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","10/01/2017 02:16:00 AM","10/01/2017 01:10:00 AM","10/01/2017 01:20:00 AM","72XX BLOCK OF SAND POINT WY NE","U","U3","4000.1027",-122.263648987,47.680744171,"(47.680744171, -122.263648987)",10,2017,"View Ridge"
225399,1291288,2017366114,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","10/02/2017 08:46:00 AM","10/02/2017 08:46:00 AM","","1 AV S / S LANDER ST","O","O1","9300.3024",-122.334205627,47.579811096,"(47.579811096, -122.334205627)",10,2017,"Industrial District"
