"City.Feature","Common.Name","Address","Website","Longitude","Latitude","Location","Neighborhood"
"Parks","Plum Tree Park","","http://www.seattle.gov/parks/park_detail.asp?ID=387",-122.299142,47.617053,"(47.617053, -122.299142)","Central"
"Parks","Ravenna Park","","http://www.seattle.gov/parks/park_detail.asp?ID=391",-122.305705,47.671402,"(47.671402, -122.305705)","Ravenna"
"Parks","Foster Island (Wash. Park)","","http://www.seattle.gov/parks/park_detail.asp?ID=393",-122.294833,47.636478,"(47.636478, -122.294833)","Broadmoor"
"Parks","Dr. Blanche Lavizzo Park","","http://www.seattle.gov/parks/park_detail.asp?ID=395",-122.304179,47.600278,"(47.600278, -122.304179)","Judkins Park"
"Parks","Judkins Park And Playfield","","http://www.seattle.gov/parks/park_detail.asp?ID=397",-122.303953,47.592425,"(47.592425, -122.303953)","Judkins Park"
"Parks","Volunteer Park","","http://www.seattle.gov/parks/park_detail.asp?ID=399",-122.315568,47.630378,"(47.630378, -122.315568)","Capitol Hill"
"Parks","Bradner Gardens Park","","http://www.seattle.gov/parks/park_detail.asp?ID=401",-122.295426,47.587419,"(47.587419, -122.295426)","Mt. Baker"
"Parks","Dearborn Park","","http://www.seattle.gov/parks/park_detail.asp?ID=408",-122.296225,47.553389,"(47.553389, -122.296225)","Beacon Hill"
"Parks","Genesee Park And Playfield","","http://www.seattle.gov/parks/park_detail.asp?ID=409",-122.278746,47.564857,"(47.564857, -122.278746)","Genesee"
"Parks","Thornton Creek Park #1","1302 10TH AVE NE","http://www.seattle.gov/parks/park_detail.asp?ID=416",-122.307629,47.707034,"(47.707034, -122.307629)","Victory Heights"
"Parks","Mount Baker Park","","http://www.seattle.gov/parks/park_detail.asp?ID=419",-122.288481,47.580957,"(47.580957, -122.288481)","Mt. Baker"
"Parks","Chinook Beach Park","RAINIER AVE S / S ITHACA ST","http://www.seattle.gov/parks/park_detail.asp?ID=421",-122.258376,47.520135,"(47.520135, -122.258376)","Rainier Beach"
"Parks","Seward Park","","http://www.seattle.gov/parks/park_detail.asp?ID=428",-122.252449,47.5543,"(47.5543, -122.252449)","Seward Park"
"Parks","Martha Washington Park","","http://www.seattle.gov/parks/park_detail.asp?ID=432",-122.260054,47.542398,"(47.542398, -122.260054)","Seward Park"
