Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Longitude,Latitude
47.641586,-122.34338,Westlake Greenbelt,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=494,-122.34338,47.641586
47.650088,-122.348825,A. B. Ernst Park,,Parks,723 N 35TH ST,http://www.seattle.gov/parks/park_detail.asp?ID=4404,-122.348825,47.650088
47.639775,-122.352314,Wolf Creek Ravine Natural Area,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=278,-122.352314,47.639775
47.640108,-122.365952,Coe Play Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3985,-122.365952,47.640108
47.640849,-122.37141,Soundview Terrace,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=3987,-122.37141,47.640849
47.644135,-122.359485,David Rodgers Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=331,-122.359485,47.644135
47.643241,-122.353356,Mayfair Park,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=321,-122.353356,47.643241
47.64559923,-122.3597106,Queen Anne Bowl Playfield,,Parks,2806 3rd Ave W,http://www.seattle.gov/parks/park_detail.asp?ID=3984,-122.3597106,47.64559923
